word,plural,frequency
hadith,ahadith,1
sharif,ashraf,1
kungwi,makungwi,1
,me,1
wakf,awkaf,1
anfriend,enfriends,1
y,ata,1
e,lun,1
un,en,1
us,sim,1
s,ysim,1
,ch,1
aliah,elichim,1
omyn,ymyn,1
diptotes,nouns,1
mus,wamis,1
kwerekwere,amakwerekwere,1
nie,s,1
y,sies,1
ek,ki,1
i,ah,1
am,omim,1
jid,ajid,1
aykh,uyookh,1
esh,ashoth,1
s,tot,1
oret,urot,1
us,oi,1
moloi,baloi,1
ipsis,eipses,1
lolwapa,malwapa,1
gepik,qepik,1
et,itten,1
singhalese,cingalese,1
ariqa,uruq,1
o,eaux,1
,ut,1
,iv,1
apanca,epanche,1
ofabitch,sabitches,1
oop,eep,1
inkhosi,amakhosi,1
ebsi,bassa,1
ekwele,bipkwele,1
omin,imin,1
otshelo,etshelo,1
mosotho,basotho,1
an,,1
,thes,1
eder,iddarim,1
muzungu,wazungu,1
os,ai,1
is,asa,1
triptotes,nouns,1
rs,mes,1
,jev,1
beast,,1
,sa,1
sicoco,zicoco,1
inn,awan,1
l,aux,1
s,zes,1
asul,usul,1
ets,tsiv,1
mwalimu,walimu,1
add,udood,1
ayit,eytim,1
elet,lot,1
eh,im,1
,ada,1
iss,lles,1
lmah,walim,1
aki,eke,1
feful,vesful,1
ophato,ephato,1
ard,nards,1
iec,ce,1
as,es,1
i,anin,1
,gun,1
er,orim,1
ofabitch,sofbitches,1
aliach,luchim,1
mzee,wazee,1
ommin,immin,1
er,,1
us,eres,1
wa,a,1
,h,1
i,ar,1
ratal,irtal,1
ko,ot,1
eq,qim,1
homme,shommes,1
n,sa,1
s,ces,1
di,adim,1
,ekh,1
okoro,ekoro,1
rotl,artal,1
cow,kine,1
nik,ota,1
aliah,luchim,1
i,onim,1
ex,iges,1
tan,atin,1
desac,sdesac,1
nkisi,minkisi,1
e,tini,1
aliah,lihim,1
,an,1
in,a,1
kama,cama,1
ann,innan,1
cimibundu,vimbundu,1
o,ya,1
osanto,isanti,1
ach,chaot,1
af,efim,1
eder,idarim,1
lmeh,walim,1
elet,loth,1
loti,maloti,1
in,e,1
afir,uffar,1
thorax,horaces,1
s,ntes,1
et,ittim,1
wthyn,ythynnod,1
,kuna,1
hanedd,aneddion,1
rah,war,1
mot,smots,1
um,en,1
is,eson,1
arif,urafa,1
yot,ik,1
ut,eet,1
th,yoth,1
aliah,lichim,1
,ni,1
orena,arena,1
,len,1
hadeeth,ahadeeth,1
is,ai,1
r,ir,1
anne,enne,1
d,ood,1
eh,ot,1
nik,ari,1
eh,os,1
gid,agid,1
each,ich,1
o,mus,1
el,loch,1
imrah,emiroth,1
,ims,1
as,ones,1
,te,1
,och,1
achua,wochua,1
d,ud,1
ex,icia,1
huk,uit,1
aliah,luhim,1
,ke,1
ya,,1
oritz,ritzim,1
motswana,batswana,1
k,cy,1
an,ns,1
likuta,makuta,1
muwashshah,tawashih,1
nkishi,minkishi,1
y,es,1
ys,ies,1
ok,ky,1
darme,sdarmes,1
egetz,kotzim,1
dah,ada,1
ah,iot,1
it,tin,1
rasah,aris,1
alian,elsh,1
e,ya,1
nill,illion,1
elek,alakim,1
ti,pol,1
al,len,1
ann,innah,1
kgosana,dikgosana,1
,od,1
,ji,1
eh,at,1
kgosi,dikgosi,1
sak,iskei,1
etrum,hertum,1
igqirha,amagqirha,1
itrix,rices,1
hil,jil,1
lal,alil,1
funa,nagu,1
y,s,1
a,ek,1
herero,ovaherero,1
alim,ulema,1
inkosi,amakhosi,1
